frame_index,action
253,"[591.2550048828125, 218.98338317871094, 3123.830322265625, 4.518968105316162, -1.0052282810211182, 0.0]"
254,"[591.1485595703125, 214.50148010253906, 3123.7138671875, 2.4646196365356445, -1.0256023406982422, 0.0]"
255,"[596.5426025390625, 209.27273559570312, 3122.18505859375, 2.3197598457336426, -0.9727478623390198, 0.0]"
256,"[602.3773193359375, 205.6053009033203, 3121.4287109375, 0.6217879056930542, -0.9151206612586975, 0.0]"
257,"[601.3779296875, 216.5503692626953, 3113.529541015625, -2.621508836746216, -0.880586564540863, 0.0]"
258,"[620.1448974609375, 221.2171173095703, 3111.539794921875, -4.74137020111084, -0.8663213849067688, 0.0]"
259,"[630.0230102539062, 231.917724609375, 3105.335205078125, -7.379834175109863, -0.7901327610015869, 0.0]"
260,"[643.7821044921875, 235.52244567871094, 3102.883544921875, -10.188183784484863, -0.7660681009292603, 0.0]"
261,"[658.0437622070312, 256.2653503417969, 3096.57958984375, -15.714004516601562, -0.7223483324050903, 0.0]"
262,"[655.3658447265625, 246.78570556640625, 3100.6708984375, -15.865894317626953, -0.6677990555763245, 0.0]"
263,"[670.5291748046875, 263.59832763671875, 3093.32470703125, -20.236820220947266, -0.6829732060432434, 0.0]"
264,"[695.0719604492188, 287.4045104980469, 3080.36474609375, -23.890094757080078, -0.7832162976264954, 0.0]"
265,"[696.0582275390625, 298.3153381347656, 3077.95947265625, -25.26504135131836, -0.7262943983078003, 0.0]"
266,"[725.7780151367188, 320.7729797363281, 3068.1748046875, -27.45308494567871, -0.7875405550003052, 0.0]"
267,"[735.4988403320312, 337.2167663574219, 3060.717529296875, -29.612817764282227, -0.8554725050926208, 0.0]"
268,"[758.5700073242188, 367.5625915527344, 3052.34033203125, -31.479141235351562, -0.8937455415725708, 0.0]"
269,"[772.7227783203125, 385.7603454589844, 3046.51318359375, -31.268463134765625, -0.832669198513031, 0.0]"
270,"[797.647216796875, 405.1756286621094, 3039.3349609375, -32.502750396728516, -0.7680304646492004, 0.0]"
271,"[793.320556640625, 415.50567626953125, 3035.37109375, -31.454471588134766, -0.7664411664009094, 0.0]"
272,"[828.3526611328125, 449.7914733886719, 3021.33056640625, -32.263587951660156, -0.7822771072387695, 0.0]"
273,"[836.4073486328125, 484.67181396484375, 3013.3076171875, -31.096771240234375, -0.7346137166023254, 0.0]"
274,"[857.3178100585938, 503.8206787109375, 3005.9140625, -31.38573455810547, -0.7932252883911133, 0.0]"
275,"[868.7060546875, 533.549560546875, 2994.432373046875, -31.012569427490234, -0.7279697060585022, 0.0]"
276,"[882.057861328125, 562.221435546875, 2984.68994140625, -29.315671920776367, -0.6654304265975952, 0.0]"
277,"[890.3211669921875, 575.2986450195312, 2979.491455078125, -27.421228408813477, -0.6651852130889893, 0.0]"
278,"[896.7054443359375, 584.0269775390625, 2976.640380859375, -26.866641998291016, -0.675724446773529, 0.0]"
279,"[904.1397094726562, 587.8915405273438, 2973.375244140625, -25.385295867919922, -0.6892842650413513, 0.0]"
280,"[909.7220458984375, 598.2386474609375, 2971.6513671875, -24.74078941345215, -0.6164900660514832, 0.0]"
281,"[921.68115234375, 618.2900390625, 2967.734375, -23.336212158203125, -0.7387877106666565, 0.0]"
282,"[928.8967895507812, 616.19384765625, 2966.944091796875, -21.736892700195312, -0.6946554780006409, 0.0]"
283,"[925.776611328125, 606.5829467773438, 2968.4521484375, -21.492473602294922, -0.6109246611595154, 0.0]"
284,"[935.8027954101562, 611.1221313476562, 2971.910888671875, -18.315156936645508, -0.5353400707244873, 0.0]"
285,"[939.8857421875, 616.480224609375, 2970.188232421875, -17.97672462463379, -0.6116209626197815, 0.0]"
286,"[940.9722900390625, 616.689697265625, 2972.93603515625, -16.286897659301758, -0.5644246339797974, 0.0]"
287,"[949.8324584960938, 601.5306396484375, 2977.81689453125, -14.491199493408203, -0.4790874123573303, 0.0]"
288,"[954.4271850585938, 604.6591796875, 2982.05859375, -12.221831321716309, -0.3963090479373932, 0.0]"
289,"[955.171875, 581.294189453125, 2989.99853515625, -9.078587532043457, -0.26720693707466125, 0.0]"
290,"[954.091796875, 565.9859619140625, 2996.162353515625, -5.526984214782715, -0.09333814680576324, 0.0]"
291,"[950.5665283203125, 551.4840087890625, 2998.598876953125, -4.22244930267334, -0.11384216696023941, 0.0]"
292,"[949.2816772460938, 547.15185546875, 3002.489013671875, -2.98256516456604, 0.009097717702388763, 0.0]"
293,"[950.943359375, 528.704345703125, 3008.120849609375, -0.8310753107070923, 0.06243235617876053, 0.0]"
294,"[949.2293701171875, 506.9359436035156, 3013.397705078125, 0.7210109829902649, 0.32841911911964417, 0.0]"
295,"[943.706298828125, 487.41162109375, 3020.5791015625, 2.89031982421875, 0.3358168601989746, 0.0]"
296,"[941.2217407226562, 466.88134765625, 3025.13623046875, 4.837746620178223, 0.3618341386318207, 0.0]"
297,"[938.9368896484375, 443.61962890625, 3032.40185546875, 7.791286468505859, 0.4678381681442261, 0.0]"
298,"[934.49658203125, 408.6438903808594, 3041.27490234375, 11.61022663116455, 0.4141274094581604, 0.0]"
299,"[927.4718627929688, 361.1916198730469, 3057.73046875, 16.398033142089844, 0.24824148416519165, 0.0]"
300,"[991.562744140625, 254.42848205566406, 3078.094970703125, 35.55735778808594, 0.20509520173072815, 0.0]"
301,"[987.3604736328125, 239.97622680664062, 3081.136474609375, 39.496707916259766, 0.24388110637664795, 0.0]"
302,"[967.4274291992188, 211.84727478027344, 3083.672119140625, 43.06290817260742, 0.4717636704444885, 0.0]"
303,"[969.50537109375, 202.37179565429688, 3091.85546875, 43.27727127075195, 0.5045452117919922, 0.0]"
304,"[950.2579345703125, 168.40371704101562, 3099.720947265625, 46.80997848510742, 0.7557889819145203, 0.0]"
305,"[950.98779296875, 164.19886779785156, 3102.0322265625, 46.89268112182617, 0.8690552115440369, 0.0]"
306,"[941.2381591796875, 146.87008666992188, 3110.905029296875, 49.04408264160156, 0.9157241582870483, 0.0]"
307,"[935.4490356445312, 127.83897399902344, 3121.313232421875, 50.59123229980469, 0.8786840438842773, 0.0]"
308,"[926.07470703125, 113.50473022460938, 3132.427734375, 52.18419647216797, 0.8980200290679932, 0.0]"
309,"[919.908935546875, 97.43943786621094, 3137.70458984375, 55.50061798095703, 0.9824012517929077, 0.0]"
310,"[908.1699829101562, 77.40447998046875, 3148.968505859375, 56.89552688598633, 1.094010353088379, 0.0]"
311,"[904.5711669921875, 68.80303955078125, 3156.5283203125, 57.95478820800781, 0.9974491596221924, 0.0]"
312,"[899.251708984375, 49.151939392089844, 3162.84326171875, 60.261470794677734, 1.0136781930923462, 0.0]"
313,"[892.010986328125, 34.333133697509766, 3172.98291015625, 61.114524841308594, 1.0111562013626099, 0.0]"
314,"[884.619140625, 15.234020233154297, 3185.32666015625, 62.60350799560547, 1.0044877529144287, 0.0]"
315,"[876.332763671875, -0.8195838928222656, 3196.14404296875, 64.18958282470703, 0.9528481960296631, 0.0]"
316,"[867.1781005859375, -13.790260314941406, 3201.902099609375, 65.46163177490234, 0.9058339595794678, 0.0]"
317,"[862.319580078125, -26.613224029541016, 3213.5205078125, 65.80040740966797, 0.9323502779006958, 0.0]"
318,"[858.3795166015625, -37.46820831298828, 3215.322021484375, 66.02533721923828, 0.8710733652114868, 0.0]"
319,"[849.3492431640625, -47.24705123901367, 3224.145263671875, 65.61917114257812, 0.8493654131889343, 0.0]"
320,"[843.93212890625, -55.01854705810547, 3229.03173828125, 65.87432861328125, 0.8168014883995056, 0.0]"
321,"[833.059326171875, -66.05879211425781, 3240.10302734375, 64.85765075683594, 0.7256973385810852, 0.0]"
322,"[826.364013671875, -75.29581451416016, 3246.30810546875, 64.40660858154297, 0.6913340091705322, 0.0]"
323,"[813.6817016601562, -85.01788330078125, 3255.5703125, 64.45575714111328, 0.4782780408859253, 0.0]"
324,"[819.972412109375, -77.77137756347656, 3255.439453125, 61.25832748413086, 0.3542996048927307, 0.0]"
325,"[798.2974853515625, -95.3007583618164, 3269.79052734375, 61.14761734008789, 0.2576627731323242, 0.0]"
326,"[790.713623046875, -101.47735595703125, 3283.045654296875, 61.02558898925781, 0.09218580275774002, 0.0]"
327,"[790.2156982421875, -98.45675659179688, 3279.500732421875, 59.163944244384766, 0.03937996178865433, 0.0]"
328,"[774.052001953125, -103.9346694946289, 3295.203857421875, 57.829933166503906, -0.3112028241157532, 0.0]"
329,"[772.8658447265625, -93.14949035644531, 3302.4267578125, 53.23798370361328, -0.4578912556171417, 0.0]"
330,"[770.3847045898438, -93.59361267089844, 3303.489501953125, 52.24787139892578, -0.42343586683273315, 0.0]"
331,"[752.5181884765625, -87.5767593383789, 3324.030029296875, 46.82350540161133, -0.753722608089447, 0.0]"
332,"[741.8980712890625, -87.313720703125, 3335.805908203125, 45.27864074707031, -0.756010115146637, 0.0]"
333,"[700.1163330078125, -92.33323669433594, 3364.9619140625, 40.169918060302734, -0.9357205629348755, 0.0]"
334,"[715.7120361328125, -73.31034851074219, 3359.15869140625, 35.389305114746094, -0.9111315608024597, 0.0]"
335,"[682.965576171875, -73.44197845458984, 3389.51318359375, 30.429311752319336, -1.012845754623413, 0.0]"
336,"[673.84765625, -55.25782012939453, 3398.593017578125, 21.26176643371582, -1.0505714416503906, 0.0]"
337,"[683.119873046875, -30.119665145874023, 3392.089111328125, 15.570026397705078, -0.977732241153717, 0.0]"
338,"[643.0963134765625, -14.599090576171875, 3420.880126953125, 3.474388837814331, -0.8806732892990112, 0.0]"
339,"[647.63623046875, 20.015708923339844, 3421.141357421875, -7.863519668579102, -0.7355939149856567, 0.0]"
340,"[662.64794921875, 50.74675369262695, 3418.996826171875, -13.99558162689209, -0.7626002430915833, 0.0]"
341,"[682.0950317382812, 103.86752319335938, 3410.37841796875, -26.694068908691406, -0.6276191473007202, 0.0]"
342,"[695.5151977539062, 131.11817932128906, 3407.305908203125, -31.18915557861328, -0.5069416165351868, 0.0]"
343,"[727.1521606445312, 165.96652221679688, 3392.3330078125, -34.089786529541016, -0.5244163274765015, 0.0]"
344,"[759.4508056640625, 213.28414916992188, 3386.367431640625, -39.84756851196289, -0.5105098485946655, 0.0]"
345,"[802.5965576171875, 260.1830749511719, 3368.48583984375, -42.79866409301758, -0.46920543909072876, 0.0]"
346,"[842.964599609375, 307.27911376953125, 3353.18701171875, -45.425193786621094, -0.5315353870391846, 0.0]"
347,"[886.9481201171875, 348.5335998535156, 3338.89599609375, -46.24591827392578, -0.6827157735824585, 0.0]"
348,"[927.559326171875, 386.6847229003906, 3324.432861328125, -43.9771842956543, -0.6687507629394531, 0.0]"
349,"[976.1898193359375, 410.67242431640625, 3306.770263671875, -41.16160202026367, -0.991010844707489, 0.0]"
350,"[1056.0264892578125, 448.9083557128906, 3272.330810546875, -36.09926986694336, -1.2043874263763428, 0.0]"
351,"[1095.95947265625, 480.3445739746094, 3262.3544921875, -34.1447639465332, -1.3022440671920776, 0.0]"
352,"[1163.993408203125, 494.87054443359375, 3241.274169921875, -28.89380645751953, -1.43449068069458, 0.0]"
353,"[1247.61328125, 520.5726928710938, 3214.24365234375, -25.583770751953125, -1.8958977460861206, 0.0]"
354,"[1308.322265625, 547.073974609375, 3195.814453125, -23.86806869506836, -2.1671142578125, 0.0]"
355,"[1352.093017578125, 547.0133056640625, 3183.18212890625, -24.007768630981445, -2.3503830432891846, 0.0]"
356,"[1454.944580078125, 546.313232421875, 3163.527099609375, -23.642417907714844, -2.8273701667785645, 0.0]"
357,"[1491.8690185546875, 551.6522216796875, 3152.771484375, -24.301136016845703, -3.0743470191955566, 0.0]"
358,"[1554.329345703125, 544.1728515625, 3130.12255859375, -24.89892578125, -3.3107216358184814, 0.0]"
359,"[1611.947509765625, 537.2343139648438, 3131.6943359375, -24.852392196655273, -3.657684087753296, 0.0]"
360,"[1640.0494384765625, 528.9406127929688, 3120.119384765625, -26.950040817260742, -3.614332914352417, 0.0]"
361,"[1689.0653076171875, 522.2930908203125, 3107.97900390625, -29.518585205078125, -3.6045782566070557, 0.0]"
362,"[1708.2308349609375, 507.2315979003906, 3117.1572265625, -31.645538330078125, -3.637848377227783, 0.0]"
363,"[1755.141357421875, 492.1341552734375, 3123.77490234375, -35.10727310180664, -3.6467220783233643, 0.0]"
364,"[1757.15283203125, 473.58099365234375, 3122.05322265625, -34.030391693115234, -3.5333142280578613, 0.0]"
365,"[1767.60986328125, 464.6753845214844, 3124.13037109375, -34.662559509277344, -3.4845383167266846, 0.0]"
366,"[1775.507568359375, 448.2853088378906, 3141.66796875, -37.99301528930664, -3.2734615802764893, 0.0]"
367,"[1745.61474609375, 413.6771240234375, 3146.97705078125, -32.350624084472656, -2.976776599884033, 0.0]"
368,"[1731.2860107421875, 398.3741760253906, 3169.022216796875, -33.466793060302734, -2.875612258911133, 0.0]"
369,"[1691.9986572265625, 366.9009704589844, 3189.404296875, -28.898326873779297, -2.9082043170928955, 0.0]"
370,"[1680.4808349609375, 353.92559814453125, 3203.9404296875, -28.892555236816406, -2.7941606044769287, 0.0]"
371,"[1668.7845458984375, 346.1258239746094, 3210.28564453125, -27.43242835998535, -2.821668863296509, 0.0]"
372,"[1626.2264404296875, 324.132568359375, 3233.32568359375, -25.210336685180664, -2.716195583343506, 0.0]"
373,"[1533.98193359375, 281.603515625, 3267.52685546875, -16.394933700561523, -2.4929280281066895, 0.0]"
374,"[1498.010498046875, 263.61480712890625, 3285.76953125, -15.074430465698242, -2.458461046218872, 0.0]"
375,"[1427.0318603515625, 236.58944702148438, 3309.8232421875, -8.368806838989258, -2.2271382808685303, 0.0]"
376,"[1314.092529296875, 181.9687042236328, 3353.09130859375, 0.05231207609176636, -1.6467581987380981, 0.0]"
377,"[1317.2774658203125, 183.69459533691406, 3354.517578125, -0.8530389070510864, -1.6957011222839355, 0.0]"
378,"[1247.3934326171875, 148.19729614257812, 3383.29296875, 4.409287452697754, -1.435620665550232, 0.0]"
379,"[1189.091796875, 120.36648559570312, 3405.128173828125, 7.989703178405762, -1.1088453531265259, 0.0]"
380,"[1145.737060546875, 104.24803161621094, 3425.76904296875, 9.954136848449707, -1.0744651556015015, 0.0]"
381,"[1095.5023193359375, 83.5685806274414, 3449.87548828125, 11.687460899353027, -0.9336451292037964, 0.0]"
382,"[1033.5888671875, 58.52916717529297, 3478.43017578125, 14.357954025268555, -0.9361672401428223, 0.0]"
383,"[1010.3248901367188, 48.203372955322266, 3486.457275390625, 15.280486106872559, -0.9099237322807312, 0.0]"
384,"[892.1492919921875, -2.6364126205444336, 3539.309326171875, 20.305707931518555, -0.8079107403755188, 0.0]"
385,"[852.8008422851562, -14.511114120483398, 3553.708984375, 21.550352096557617, -0.8224334716796875, 0.0]"
386,"[747.6944580078125, -54.11359786987305, 3597.86279296875, 25.166439056396484, -0.7664262056350708, 0.0]"
387,"[712.0441284179688, -65.10960388183594, 3613.689453125, 25.726011276245117, -0.7997868657112122, 0.0]"
388,"[638.3579711914062, -90.35828399658203, 3645.166259765625, 28.883337020874023, -0.7712315320968628, 0.0]"
389,"[551.0629272460938, -115.36505126953125, 3679.418212890625, 31.65163803100586, -0.6572208404541016, 0.0]"
390,"[504.8916931152344, -133.7518310546875, 3698.5078125, 33.62690353393555, -0.5951743125915527, 0.0]"
391,"[423.0565185546875, -157.86647033691406, 3740.553466796875, 38.19973373413086, -0.34082871675491333, 0.0]"
392,"[366.16168212890625, -168.3662567138672, 3764.488525390625, 40.19697189331055, -0.02146715670824051, 0.0]"
393,"[302.001708984375, -187.30999755859375, 3793.083740234375, 44.051361083984375, 0.46825557947158813, 0.0]"
394,"[248.4173126220703, -194.89813232421875, 3821.8876953125, 45.7140007019043, 0.5925381183624268, 0.0]"
395,"[215.19482421875, -204.36802673339844, 3836.99365234375, 46.36429977416992, 0.694865345954895, 0.0]"
396,"[196.45669555664062, -213.32177734375, 3851.4619140625, 47.439842224121094, 0.5690394043922424, 0.0]"
397,"[206.3687744140625, -214.85467529296875, 3848.145751953125, 50.08638000488281, 0.2757874131202698, 0.0]"
398,"[197.814453125, -216.6693878173828, 3856.87158203125, 49.176605224609375, 0.19172942638397217, 0.0]"
399,"[222.19052124023438, -210.51612854003906, 3849.79052734375, 50.271324157714844, -0.02153296023607254, 0.0]"
400,"[93.75979614257812, -204.3309326171875, 3962.15185546875, 39.87031555175781, -0.37779051065444946, 0.0]"
401,"[114.40411376953125, -206.2401580810547, 3947.828857421875, 40.70927047729492, -0.36403727531433105, 0.0]"
402,"[144.2696533203125, -191.21925354003906, 3931.974853515625, 40.9852180480957, 0.11102498322725296, 0.0]"
403,"[191.64529418945312, -184.12478637695312, 3915.2236328125, 42.567283630371094, 0.29566097259521484, 0.0]"
404,"[221.27182006835938, -175.35643005371094, 3907.376953125, 40.44205093383789, 0.6516868472099304, 0.0]"
405,"[237.4530029296875, -169.1210479736328, 3898.053955078125, 40.20768356323242, 0.7845525741577148, 0.0]"
406,"[280.7347412109375, -163.95230102539062, 3886.73486328125, 40.26261901855469, 0.8762943148612976, 0.0]"
407,"[300.90740966796875, -157.9400177001953, 3879.70654296875, 40.266387939453125, 1.0257567167282104, 0.0]"
408,"[325.7615966796875, -157.22039794921875, 3871.59814453125, 42.037811279296875, 0.9425137042999268, 0.0]"
409,"[350.99114990234375, -149.1599578857422, 3861.110595703125, 42.84740447998047, 1.0208829641342163, 0.0]"
410,"[371.3848876953125, -147.36117553710938, 3857.47314453125, 43.92245864868164, 1.0216915607452393, 0.0]"
411,"[395.93487548828125, -143.2285919189453, 3851.277587890625, 44.443294525146484, 0.9493252038955688, 0.0]"
412,"[439.1662902832031, -133.56329345703125, 3839.687744140625, 45.09988021850586, 0.8126981854438782, 0.0]"
413,"[480.8977355957031, -124.75081634521484, 3828.906982421875, 45.58910369873047, 0.5425629615783691, 0.0]"
414,"[518.541015625, -116.00193786621094, 3820.197998046875, 46.166229248046875, 0.31411153078079224, 0.0]"
415,"[593.3845825195312, -98.80657196044922, 3805.73779296875, 46.65199279785156, -0.040141016244888306, 0.0]"
416,"[633.1990966796875, -90.94413757324219, 3797.146484375, 46.17423629760742, -0.24736705422401428, 0.0]"
417,"[705.8900756835938, -73.66241455078125, 3785.28271484375, 45.41852951049805, -0.5884413123130798, 0.0]"
418,"[755.7608642578125, -60.8734245300293, 3775.3779296875, 43.85740661621094, -0.8048904538154602, 0.0]"
419,"[795.8235473632812, -49.1846923828125, 3767.705810546875, 41.958213806152344, -0.8452439308166504, 0.0]"
420,"[832.3330078125, -40.71233367919922, 3761.477294921875, 39.76399230957031, -0.9842179417610168, 0.0]"
421,"[869.83837890625, -28.78022575378418, 3752.348388671875, 37.500999450683594, -1.1757280826568604, 0.0]"
422,"[929.7515869140625, -13.667030334472656, 3739.227783203125, 34.73741149902344, -1.4146387577056885, 0.0]"
423,"[947.0841064453125, -7.374000072479248, 3734.175537109375, 33.286502838134766, -1.4901559352874756, 0.0]"
424,"[987.5005493164062, 1.5784704685211182, 3729.593994140625, 30.30282974243164, -1.6349173784255981, 0.0]"
425,"[1056.714111328125, 17.427446365356445, 3718.35498046875, 27.365291595458984, -1.934776782989502, 0.0]"
426,"[1104.2681884765625, 28.24111557006836, 3710.8583984375, 24.50067710876465, -2.1907496452331543, 0.0]"
427,"[1147.397216796875, 36.88862609863281, 3704.826904296875, 22.10816764831543, -2.396817922592163, 0.0]"
428,"[1165.7784423828125, 41.40902328491211, 3704.099853515625, 19.678613662719727, -2.4871649742126465, 0.0]"
429,"[1199.754150390625, 47.689598083496094, 3700.669677734375, 18.025558471679688, -2.6767077445983887, 0.0]"
430,"[1231.4505615234375, 55.55062484741211, 3695.370361328125, 14.896476745605469, -2.8065528869628906, 0.0]"
431,"[1238.8599853515625, 53.37656784057617, 3704.844970703125, 12.756667137145996, -2.8077499866485596, 0.0]"
432,"[1240.761962890625, 50.65382766723633, 3715.279296875, 9.707581520080566, -2.841520071029663, 0.0]"
433,"[1231.44384765625, 48.25501251220703, 3715.299560546875, 9.614099502563477, -2.807325601577759, 0.0]"
434,"[1233.156005859375, 53.29580307006836, 3727.072509765625, 3.182988405227661, -2.8761117458343506, 0.0]"
435,"[1202.32958984375, 50.041831970214844, 3740.1220703125, 0.9130806922912598, -2.7517707347869873, 0.0]"
436,"[1162.3140869140625, 57.81031799316406, 3758.442626953125, -6.77105712890625, -2.818676471710205, 0.0]"
437,"[1136.686767578125, 63.77463912963867, 3772.488525390625, -10.067103385925293, -2.841649055480957, 0.0]"
438,"[1033.7628173828125, 88.35356903076172, 3824.45849609375, -26.7132568359375, -3.0019724369049072, 0.0]"
439,"[979.5372314453125, 103.00540161132812, 3840.51123046875, -33.70820617675781, -2.850224494934082, 0.0]"
440,"[915.6314697265625, 121.00184631347656, 3866.4248046875, -41.43197250366211, -2.519812822341919, 0.0]"
441,"[827.7701416015625, 144.6540985107422, 3900.86328125, -55.10940170288086, -2.230520725250244, 0.0]"
442,"[790.0479736328125, 165.50726318359375, 3920.540771484375, -63.73725128173828, -2.0657646656036377, 0.0]"
443,"[699.0592041015625, 206.80909729003906, 3958.705322265625, -81.49994659423828, -1.6183253526687622, 0.0]"
444,"[596.589599609375, 250.02894592285156, 4005.587890625, -99.4518814086914, -1.2600651979446411, 0.0]"
445,"[492.67987060546875, 326.1260986328125, 4046.907470703125, -125.16075897216797, -0.508259117603302, 0.0]"
446,"[398.4866638183594, 431.9361267089844, 4093.77197265625, -147.83921813964844, 0.3547096848487854, 0.0]"
447,"[303.61639404296875, 465.6569519042969, 4126.3125, -149.38677978515625, 1.0220224857330322, 0.0]"
448,"[241.28515625, 513.134765625, 4152.3818359375, -149.59201049804688, 1.36359703540802, 0.0]"
449,"[152.39129638671875, 550.0284423828125, 4177.34375, -141.8668670654297, 1.6861118078231812, 0.0]"
450,"[109.14572143554688, 592.8927612304688, 4197.5986328125, -131.3704833984375, 2.4549307823181152, 0.0]"
451,"[39.62786865234375, 581.8121948242188, 4217.1171875, -120.58094024658203, 3.821964740753174, 0.0]"
452,"[75.42623901367188, 629.6778564453125, 4224.98681640625, -104.11738586425781, 5.152074813842773, 0.0]"
453,"[66.934326171875, 606.1689453125, 4221.32666015625, -101.0796890258789, 4.349246978759766, 0.0]"
454,"[109.81414794921875, 610.6419067382812, 4210.69580078125, -98.92961883544922, 3.5709023475646973, 0.0]"
455,"[166.29244995117188, 539.6046752929688, 4185.9326171875, -106.11859130859375, 1.0997923612594604, 0.0]"
456,"[275.36297607421875, 520.1566162109375, 4166.6796875, -104.18878173828125, -0.4150732159614563, 0.0]"
457,"[405.4622497558594, 474.641845703125, 4135.8583984375, -105.65532684326172, -2.1109097003936768, 0.0]"
458,"[468.721435546875, 402.5076904296875, 4123.732421875, -102.13302612304688, -2.743419647216797, 0.0]"
459,"[494.3253173828125, 359.5978088378906, 4126.86767578125, -100.44274139404297, -3.2655577659606934, 0.0]"
460,"[562.472900390625, 304.55389404296875, 4111.7568359375, -96.82553100585938, -4.005610466003418, 0.0]"
461,"[616.3582763671875, 262.0401611328125, 4103.5693359375, -92.96419525146484, -4.433470249176025, 0.0]"
462,"[717.277099609375, 217.793212890625, 4100.38037109375, -94.90719604492188, -4.742156505584717, 0.0]"
463,"[806.1881103515625, 164.82289123535156, 4096.55859375, -99.74684143066406, -4.850210666656494, 0.0]"
464,"[829.7783203125, 119.90812683105469, 4093.06884765625, -96.8193588256836, -5.196069717407227, 0.0]"
465,"[877.5096435546875, 91.60814666748047, 4088.72509765625, -98.02315521240234, -5.721749305725098, 0.0]"
466,"[936.7230224609375, 46.42271041870117, 4085.83349609375, -98.8749771118164, -7.623701095581055, 0.0]"
467,"[948.9566650390625, 8.520296096801758, 4075.318115234375, -91.80349731445312, -8.216450691223145, 0.0]"
468,"[996.8087768554688, -41.22688293457031, 4071.80419921875, -89.78173828125, -9.508925437927246, 0.0]"
469,"[1018.804931640625, -60.63089370727539, 4065.879150390625, -85.08285522460938, -10.073533058166504, 0.0]"
470,"[1043.7786865234375, -95.80335998535156, 4050.38232421875, -79.21969604492188, -10.242643356323242, 0.0]"
471,"[1057.73583984375, -109.81543731689453, 4048.13232421875, -72.79412841796875, -10.318636894226074, 0.0]"
472,"[1059.416015625, -123.79971313476562, 4044.850830078125, -66.75836944580078, -10.123190879821777, 0.0]"
473,"[1052.03125, -139.100830078125, 4032.605224609375, -48.01174545288086, -8.899340629577637, 0.0]"
474,"[1065.465087890625, -139.0317840576172, 4028.44384765625, -40.10096740722656, -8.75843334197998, 0.0]"
475,"[1053.8548583984375, -146.32180786132812, 4025.946533203125, -28.99285888671875, -8.800017356872559, 0.0]"
476,"[1031.15478515625, -157.18360900878906, 4019.605712890625, -16.16376495361328, -8.577825546264648, 0.0]"
477,"[1009.960205078125, -167.80322265625, 4023.547607421875, -11.947500228881836, -8.605589866638184, 0.0]"
478,"[996.4605102539062, -174.30490112304688, 4020.710205078125, -3.5009000301361084, -8.510981559753418, 0.0]"
479,"[974.5662231445312, -173.6565399169922, 4019.5771484375, 2.091409206390381, -8.325051307678223, 0.0]"
480,"[902.303466796875, -183.41943359375, 4028.562255859375, 9.134428977966309, -7.727283477783203, 0.0]"
481,"[853.6680908203125, -187.81527709960938, 4032.969970703125, 15.521406173706055, -7.232119560241699, 0.0]"
482,"[745.4913330078125, -194.0225067138672, 4045.982177734375, 21.678630828857422, -6.754026412963867, 0.0]"
483,"[646.052490234375, -199.4980926513672, 4078.5166015625, 18.650941848754883, -7.0888190269470215, 0.0]"
484,"[520.1649780273438, -204.6820526123047, 4089.10986328125, 25.855863571166992, -5.8039870262146, 0.0]"
485,"[386.49554443359375, -210.2159423828125, 4114.0400390625, 24.903564453125, -5.396814823150635, 0.0]"
486,"[50.20196533203125, -217.40904235839844, 4203.45849609375, 16.784543991088867, -3.524237871170044, 0.0]"
487,"[47.565887451171875, -228.85557556152344, 4203.86669921875, 19.36739158630371, -3.436424493789673, 0.0]"
488,"[-137.16671752929688, -235.92959594726562, 4243.89306640625, 17.252443313598633, -2.1697440147399902, 0.0]"
489,"[-425.5372619628906, -262.2653503417969, 4304.80322265625, 14.388583183288574, -0.05006437003612518, 0.0]"
490,"[-548.3720703125, -273.736328125, 4328.72265625, 12.191706657409668, 1.089872121810913, 0.0]"
491,"[-760.2880859375, -289.5774841308594, 4384.41259765625, 4.762733459472656, 3.163083076477051, 0.0]"
492,"[-937.9903564453125, -300.2878112792969, 4416.44873046875, -1.072770595550537, 5.56463098526001, 0.0]"
493,"[-972.3331298828125, -304.6171875, 4441.88720703125, -4.481284141540527, 7.456023693084717, 0.0]"
494,"[-938.738037109375, -309.9399108886719, 4442.60302734375, -3.7300403118133545, 7.288055419921875, 0.0]"
495,"[-882.15380859375, -315.1648254394531, 4420.814453125, -3.979639768600464, 7.170599460601807, 0.0]"
496,"[-717.3905029296875, -325.98687744140625, 4406.1796875, -1.6938445568084717, 5.37076473236084, 0.0]"
497,"[-636.6568603515625, -331.7635803222656, 4381.02392578125, -1.4758152961730957, 4.942338943481445, 0.0]"
498,"[-582.998779296875, -333.8760986328125, 4355.189453125, -0.7577625513076782, 4.414140701293945, 0.0]"
499,"[-389.4885559082031, -350.5039978027344, 4301.5068359375, 5.643154144287109, 3.194877862930298, 0.0]"
500,"[-195.12533569335938, -542.1365356445312, 3812.15087890625, -24.028717041015625, -0.5242769122123718, 0.0]"
501,"[-206.33901977539062, -623.571533203125, 3900.814697265625, -29.2572078704834, -0.1979270577430725, 0.0]"
502,"[-191.66989135742188, -649.1686401367188, 3913.8310546875, -30.073097229003906, -0.18268656730651855, 0.0]"
503,"[-143.95504760742188, -609.5462646484375, 3817.2138671875, -30.073728561401367, -0.6758129596710205, 0.0]"
504,"[-77.88589477539062, -615.3902587890625, 3873.14501953125, -30.619277954101562, -1.1495290994644165, 0.0]"
